description;address;neighborhood;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento a venda em Nova colina, Sobradinho/DF com 01 quarto e garagem.;Condomínio Lara Conjunto B;Nova Colina;40;1;-;1;1;80000;-;-;-
Apto com 2 Quartos, Vaga de Garagem Coberta e Varanda;QS 401;Samambaia Norte;80;2;0;1;1;225000;421;330;-
Apartamento para venda com 60m2 com 2 quartos QRSW - Setor Sudoeste - Brasília - DF;QRSW 2 Bloco A-6;Setor Sudoeste;-;2;1;2;-;740000;650;1212;-
Apartamento para Venda em RA XXVI Sobradinho II, Setor de Mansões de Sobradinho, 1 dormit;-;Setor de Mansões de Sobradinho;27;1;-;1;-;109000;-;-;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 suíte, 1 banheir;Setor SAGOCA;Taguatinga Norte;50;2;1;1;1;259000;320;520;-
Apartamento para venda com 82 metros quadrados com 3 quartos em Sul - Brasília - DF;Quadra 208;Sul;82;3;1;3;1;670000;750;750;-
VENDO APT 2Q - AV.SUCUPIRA - RF1;Avenida Sucupira;Riacho Fundo I;-;2;0;1;0;99000;120;1;-
Apartamento para venda tem 43 metros quadrados com 2 quartos;Módulo C;Condomínio Mestre D'Armas;43;2;0;1;1;55000;0;0;-
Apartamento para venda possui 47 metros quadrados com 1 quarto em Samambaia Sul - Brasília - DF;Quadra 301 Conjunto 1;Samambaia Sul;-;2;0;1;1;250000;0;0;-
Apartamento para venda possui 34 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QR 407;Samambaia Norte;48;2;0;1;1;166000;-;-;-
Mobiliado de canto três quartos no Noroeste com duas garagens.;SQNW 109 Bloco F;Setor Noroeste;185;3;1;3;2;1700000;1340;2630;-
DF Century Plaza Águas Claras, 1 quarto com 34 m², armários planejados, reformado, vista livre;Rua Copaíba;Norte;50;1;1;1;1;369000;450;650;-
Apartamento para venda tem 127 metros quadrados com 3 quartos em Sul - Brasília - DF;Quadra 203;Sul;-;3;1;3;2;820000;860;1680;-
Apartamento 3 quartos na SQN 206 - Asa Norte.;SQN 205 Bloco J;Asa Norte;-;3;-;3;-;1920000;950;1600;-
VENDA - EXCELENTE APARTAMENTO - AGUAS CLARAS;Quadra 101;Norte;57;2;1;2;1;450000;0;0;-
Total Ville Santa Maria - 2 quartos com vista livre A venda uma das melhores unidades do Total Vil;Avenida Monumental;Setor Meireles;60;2;0;1;1;165000;235;0;-
QBR 01, 1 andar, Aceita financiamento, todo reformado, lindíssimo!;QBR 1 Bloco B;Residencial Santos Dumont;-;2;-;1;-;220000;0;0;-
Kitnet/conjugado para venda tem 37 metros quadrados com 1 quarto em Norte - Brasília - DF;Rua 18;Norte;37;1;1;1;1;415000;370;680;-
VENDO APARTAMENTO REFORMADÍSSIMO 3 QUARTOS QUADRA 305 CRUZEIRO NOVO;SHCES Quadra 305;Cruzeiro Novo;-;3;1;2;0;595000;455;670;-
Excelente apartamento mobiliado de 01 quarto!;SQS 408 Bloco F;Asa Sul;43;1;0;1;0;400000;400;800;-
Apartamento para venda com 36 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;QSC 19;Taguatinga Sul;36;1;-;1;0;88000;0;0;-
Lazer completo, podendo ser 1 ou 2 quartos, muitas facilidades na entrada;QR 410 Conjunto 5;Samambaia Norte;57;1;1;1;1;175500;200;100;-
Edifício Monte Pascoal (SQN 110 Bloco K, Asa Norte - Brasília/DF);SQN 110 Bloco K;Asa Norte;190;4;2;5;2;2390000;2300;3400;-
Cobertura Duplex 03 Quartos, 02 Suítes, 112 m², Armários, 02 vagas de Garagem, Ed. Jardim Brasil;Rua 7;Norte;-;3;2;3;2;850000;870;1200;-
BRASÍLIA - Apartamento Padrão - ASA NORTE;-;Asa Norte;101;3;0;2;-;900000;692;1345;-
Apartamento para Venda em Brasília, Norte (Águas Claras), 2 dormitórios, 1 suíte, 2 banheiros, 1 vag;Rua 8;Norte;103;2;1;2;1;600000;580;0;-
RES.VILLENEUVE - 2 QUARTOS REFORMADO R$585.000 - AGUAS CLARAS QUADRA 104;Quadra 104;Norte;86;2;0;2;1;560000;450;0;-
Total Ville Santa Maria - Apartamento 2 quartos térreo, com quintal e já foi feito o fechamento da c;Rua 200 Lote 201;Setor Meireles;70;2;0;1;1;220000;200;0;-
Apartamento no Paranoá parque quadra 3;Quadra 3 Conjunto 3 Lote 1 Bloco D;Paranoá Parque;46;2;0;1;0;80000;-;-;-
Apartamento 1e2 quartos com lazer completo;QN 320;Samambaia Sul;-;2;0;1;0;177000;0;0;-
Lindo 02 Quartos com suite 59 M² Noroeste Sinal a Partir de R$ 55.000,00.;CLNW 4/5;Setor Noroeste;90;2;1;2;1;730000;650;1200;-
Apartamento 2 quartos com garagem Centro Samambaia;QR 412;Samambaia Norte;92;2;0;1;1;235000;350;280;-
Apartamento com 2 dormitórios à venda, 67 m² por R$ 395.000 - Vicente Pires - Vicente Pires/DF;Rua 3 Chácara 82;Setor Habitacional Vicente Pires;67;2;1;1;1;395000;0;0;-
Duplex para venda tem 225 metros quadrados com 3 quartos em Setor Noroeste - Brasília - DF;SQNW 311 Bloco H;Setor Noroeste;230;3;2;5;3;2450000;0;0;-
CASA DE ALTO PADRÃO 03 SUÍTES NO CONDOMÍNIO VILA PARK - PONTE ALTA NORTE - GAMA - BRASILÍA/DF;Rua Jacarandá;Ponte Alta Norte;400;6;3;5;2;950000;120;-;-
Apartamento 3 quartos, Aceita Financiamento e FGTS – Área de Lazer;Quadra 101 Conjunto 2;Samambaia Sul;113;3;1;2;1;395000;430;0;-
3 apartamentos sendo 2 de 1 quarto e outro com 2 quartos em Núcleo Bandeirante - Brasília - DF;-;Núcleo Bandeirante;123;1;0;1;0;250000;120;0;-
Residencial Potal do Sol - 3 Quartos Com Suíte - Ceilândia Norte - Com Armários - Andar baixo;QNO 12 Área Especial L;Ceilândia Norte;64;3;1;2;1;295000;480;550;-
Apartamento para venda tem 110 metros quadrados com 3 quartos em Setor Industrial - Brasília - DF;Quadra 1;Setor Industrial;110;3;0;2;1;550000;0;0;-
Rua 10, Vicente Pires Apto para venda com 55 metros quadrados com 2 quartos só 130mil;Rua 10;Setor Habitacional Vicente Pires;55;2;0;1;0;130000;-;-;-
Apartamento para venda possui 49 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QS 421;Samambaia Norte;80;2;0;1;1;210000;360;0;-
Haus Noroeste Cobertura Duplex 4 suítes até 5 vagas SQNW 106;SQNW 106 Bloco C;Setor Noroeste;-;4;4;8;5;6624952;0;0;-
Lindo apartamento 112m² c/ 03 quartos e 2 vagas de garagem - Edificio Vivian Valois - Águas Claras;Quadra 209;Sul;112;3;1;1;1;980000;900;1500;-
Apartamento para venda com 68 m², com 2 quartos 1 suíte - Edf. Flamboyant;Rua 4 Chácara 6A;Setor Habitacional Vicente Pires - Trecho 3;68;2;1;2;0;250000;200;-;-
APARTAMENTO - 03 QUARTOS - NÚCLEO BANDEIRANTE;-;Núcleo Bandeirante;58;3;-;1;-;1250;100;531;-
BRASÍLIA - Apartamento Padrão - ASA NORTE;-;Asa Norte;165;3;1;3;1;1299000;1250;3000;-
Apartamento 4 quartos com 3 Suítes e 3 Vagas! Alto Padrão! Residencial Via Majestic!;Rua 28;Norte;170;4;3;5;3;1620000;1180;2000;-
apartamento a venda 2 quartos Nucleo Bandeirante, ótimo local;Avenida Central Área Especial 12;Núcleo Bandeirante;48;2;-;1;0;195000;135;400;-
Apartamento com 2 dormitórios à venda, 80 m² por R$ 360.000,00 - Vicente Pires - Vicente Pires/DF;Rua 4A;Setor Habitacional Vicente Pires;80;2;0;1;1;360000;0;0;-
Apartamento com 1 Quarto- Mobiliado- Reformado -;Rua 37;Sul;42;1;1;1;1;385000;450;660;-
VENDO APARTAMENTO 84m2 COM ARMÁRIOS 3 QUARTOS SUÍTE 1' ANDAR ELEVADOR GARAGEM RUA 08 VICENTE PIRES;Rua 8;Setor Habitacional Vicente Pires;84;3;1;2;1;348000;-;-;-
OASIS 2 Quartos 1 Suíte;QN 412 Conjunto A;Samambaia Norte;69;2;1;2;1;265000;380;0;-
QS 406 Ótimo Apartamento Reformado com 2 Quartos AC Financiamento em Samambaia Norte - Brasília - DF;QS 406 Conjunto A;Samambaia Norte;-;2;0;1;1;180000;314;0;-
EXCELENTE APARTAMENTO RUA 12 VICENTE PIRES 2' ANDAR 2 QUARTOS SUÍTE ELEVADOR GARAGEM 75m2 NASCENTE;Rua 12;Setor Habitacional Vicente Pires;75;2;1;2;1;255000;-;-;-
OPORTUNIDADE - APTO 1 QUARTO - EXCELENTE LOCALIZAÇÃO;Chácara 123;Setor Habitacional Vicente Pires - Trecho 3;38;1;0;1;0;130000;200;-;-
Apartamento 2 quartos - 60 metros em Águas Claras-Brasilia/DF;Alameda Gravatá Quadra 301 Conjunto 16;Norte;70;2;1;2;1;380000;470;700;-
Apartamento com 2 dormitórios à venda, 50 m² por R$ 260.000,00 - Vicente Pires - Vicente Pires/DF;Rua 4A;Setor Habitacional Vicente Pires;50;2;1;2;1;260000;0;0;-
Apartamento para venda com 125 metros quadrados com 4 quartos em Norte - Brasília - DF;Rua 31;Norte;-;4;3;4;2;1299000;1121;1700;-
Apartamento para venda tem 10 metros quadrados com 2 quartos em Sobradinho - Brasília - DF;Condomínio Vale do Sol;Sobradinho;-;2;0;1;1;305000;0;0;-
Apartamento para venda tem 42 metros quadrados com 1 quarto em Norte - Brasília - DF;Rua 34;Norte;42;1;0;1;-;465000;0;0;-
Apartamento de 3 quartos de 61m² no Riacho Fundo II - Todo Planejado;-;Riacho Fundo II;-;3;1;2;1;215000;0;0;-
Viva em um Resort;Rua das Carnaúbas;Norte;-;2;0;1;1;535000;600;1000;-
Cruzeiro - Apartamento Padrão - Cruzeiro Novo;-;Cruzeiro Novo;63;3;0;1;-;459000;250;-;-
Apartamento para venda possui 65 metros quadrados com 2 quartos em Riacho Fundo I - Brasília - DF;Avenida Sucupira;Riacho Fundo I;65;2;1;2;0;175000;0;0;-
ÓTIMO APARTAMENTO NO RESIDENCIAL LE VILLE;Quadra 201;Sul;88;2;1;2;1;398000;400;500;-
Apartamento para venda tem 40 metros quadrados com 1 quarto;Rua 7;Setor Habitacional Vicente Pires;40;1;-;1;-;130000;100;0;-
𝗔𝗣𝗔𝗥𝗧𝗔𝗠𝗘𝗡𝗧𝗢 𝗗𝗘 𝟯 𝗤𝗨𝗔𝗥𝗧𝗢𝗦 𝗡𝗢 𝗖𝗢𝗡𝗗𝗢𝗠𝗜́𝗡𝗜𝗢 𝗕𝗘𝗠 𝗩𝗜𝗩𝗘𝗥;QNN 34 Área Especial A;Ceilândia Sul;80;3;1;2;1;320000;300;400;-
Apartamento de 26m² com 1 quarto + 26m² de área privativa em Riacho Fundo II - Brasília - DF;QN 12E Conjunto 1;Riacho Fundo II;52;1;0;1;0;115000;0;0;-
Asa Sul – Sqs 306 - Vazado – Vista Livre em Andar;-;Asa Sul;154;3;-;3;-;1280000;1200;-;-
Apartamento com 2 dormitórios à venda, 50 m² por R$ 100.000,00 - Paranoá - Paranoá/DF;Quadra 18 Conjunto L;Paranoá;55;2;0;1;0;120000;0;0;-
Apartamento para venda tem 30 metros quadrados com 1 quarto;EPTG EQ 3/4;Quadras Econômicas Lúcio Costa;30;1;1;1;0;275000;-;0;-
Ap de 63m² de 2 Quartos com suite, varanda em Aguas Claras (Sinal Minimo: 25.800,00);Quadra 301 Rua D Conjunto 2;Norte;-;2;2;2;1;524000;-;-;-
Flat - Apart Hotel Mobiliado - Hotel Brasil XXXI/Asa Sul;SHS Quadra 6;Asa Sul;49;1;-;1;0;380000;1385;-;-
APARTAMENTO RESIDENCIAL em BRASÍLIA - DF, NORTE (ÁGUAS CLARAS);Avenida Parque Águas Claras;Norte;33;1;1;1;1;1400;-;291;-
Sala / Consultório / Clinica para venda tem 60m² - 915 Sul - Office Center Asa Sul - Brasília - DF;SGAS 915;Asa Sul;-;1;-;1;1;350000;733;3108;-
Apartamento para Venda em Brasília, Guará II, 2 dormitórios, 1 banheiro;Colônia Agrícola Águas Claras Chácara 41;Guará I;56;2;0;1;0;140000;-;0;-
BRASÍLIA - Apartamento Padrão - ASA SUL;-;Asa Sul;56;2;-;1;-;530000;480;1000;-
Apartamento para venda possui 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;2;639792;540;0;-
Apartamento de 2 Quartos Reformado na CNB 12 Taguatinga Norte;-;Taguatinga Norte;60;2;0;1;1;265000;500;0;-
Aguas Claras 4 qts, 132m2 muito bem localizado qd. 104 Res Paradiso;Quadra 104;Norte;132;4;1;3;1;840000;0;0;-
Apartamento para venda possui 58² Samambaia Norte Quadra 613;QR 612 Conjunto 1;Samambaia Norte;58;2;0;1;1;245000;-;-;-
ModernLife, Rua 05 Norte, O Melhor de Águas Claras;Rua 5;Norte;33;1;1;1;1;330000;321;671;-
Apartamento à venda, 4 quartos, 4 suítes, Setor Noroeste - Brasília/DF;-;Setor Noroeste;157;4;4;6;0;2500000;1469;0;-
Apartamento com 3 quartos no recanto das emas;Avenida Ponte Alta Quadra 405;Recanto das Emas;70;3;1;2;0;150000;-;-;-
Apartamento IMPÉRIO DOS NOBRES | COM VARANDA ESCRITURADO;MC 1;Condomínio Império dos Nobres;68;1;0;1;1;200000;-;450;-
Vista livre definitiva para o Parque Burle Marx - 84m² 2 quartos 2 vagas Setor Noroeste;SQNW 103 Bloco D;Setor Noroeste;-;2;1;3;2;1493419;-;-;-
Apartamento para Venda em RA V Sobradinho, Condomínio Petrópolis DF 150 SOBRADINHO DF, 2;-;Sobradinho;66;2;-;1;-;150000;-;-;-
Ap até 100% financiado;QR 407 Conjunto 1;Samambaia Norte;-;2;0;1;1;183000;0;0;-
Apartamento Águas Claras Rua 36 Sul- Com 3 quartos em Sul - Brasília - DF;Rua 36;Sul;100;3;1;3;2;900000;0;0;-
Apartamento para venda tem 97 metros quadrados com 3 quartos em Norte - Brasília - DF;Rua das Carnaúbas;Norte;-;3;1;2;2;814064;0;0;-
apartamento mobiliadom, com armários, garagem;Avenida Parque Águas Claras;Norte;-;1;-;1;1;280000;315;113;-
Apartamento para venda tem 127 metros quadrados com 3 quartos em Asa Norte - Brasília - DF;SQN 116;Asa Norte;-;3;1;3;3;1300000;1213;2074;-
qr 212 - 2 quartos - pronto para morar - últimas unidades- aceita financiamento/fgts;QR 212 Conjunto 3;Samambaia Norte;-;2;0;1;1;280000;0;0;-
Vendo Prédio Riacho Fundo II td Alugaado * 1 Loja + 4 Apartamentos;QS 16;Riacho Fundo II;336;5;-;5;0;830000;0;0;-
Apartamento para venda com 79 metros quadrados com 3 quartos em Norte - Brasília - DF;Rua das Paineiras;Norte;-;3;1;2;1;660000;500;980;-
Apartamento para Venda em Brasília, Setor Sudoeste, 2 dormitórios, 1 banheiro;QRSW 1 Bloco A-2;Setor Sudoeste;60;2;0;1;0;585000;569;0;-
EXCELENTE APARTAMENTO NO GAMAGGIORE À VENDA 2 QUARTOS SENDO 1 SUÍTE - 66 m² R$ 330.000;Quadra 1;Setor Industrial;-;2;1;2;1;350000;-;-;-
Apartamento 2 Quartos Com Garagem SHIS Centro Samambaia!;QR 412;Samambaia Norte;92;2;0;1;1;235000;350;300;-
Apartamento para venda possui 48 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;Setor SAGOCA;Taguatinga Norte;-;2;0;1;1;255000;0;0;-
Apartamento para venda tem 43 metros quadrados com 2 quartos em Setor Central - Gama- DF;Quadra 55;Setor Central;50;2;0;1;1;165000;420;360;-
Rua 24 - Casa Blanca Mall Residence - 74m² - Reformado;Rua 24;Norte;74;2;1;2;1;710000;500;800;-
Joy Residence Águas Claras - Apartamento cobertura Duplex - 3 suítes, 2 vagas de garagem soltas Lin;Rua 36;Sul;141;3;3;3;2;900000;840;-;-
Cobertura duplex para venda com 336 metros quadrados com 4 quartos em Setor Noroeste - Brasília - DF;SQNW 311 Bloco H;Setor Noroeste;336;4;4;7;4;3990000;850;1;-
Apto - 33 m2 no Park Sul - 1 quarto - 1 vaga - Aceita FGTS - perto de tudo - lazer de resort;SGCV Lote 10;Zona Industrial;-;1;0;1;1;440510;450;-;-
Apartamento Av. Jacarandá- Águas Claras- Com 1 quarto em Sul - Brasília - DF;-;Sul;45;1;-;1;1;370000;0;0;-
Apartamento 3 Quartos (Suíte) Reformado + Armários Planejados | Quadra 5/7 Sobradinho-DF;Quadra Central Bloco 7;Sobradinho;127;3;1;2;2;580000;-;-;-
VENDO SQN 108 ORIGINAL SEXTO ANDAR 123M² PRIVATIVOS;SQN 108;Asa Norte;-;3;1;3;1;1200000;970;1972;-
Apartamento 2 Quartos Reformado, Samambaia;QS 601;Samambaia Norte;42;2;0;1;2;250000;280;0;-
LINDO APARTAMENTO, ALTO PADRÃO, 3 QUARTOS, 01 SUÍTE, REFORMADO, 2º ANDAR, HIDROMASSAGEM, NASCENTE, C;-;Cruzeiro Novo;65;3;1;2;0;630000;300;58;-
Apartamento para venda tem 82 metros quadrados com 3 quartos em Norte - Brasília - DF;Rua das Carnaúbas;Norte;-;3;1;2;2;663644;0;0;-
Apartamento para venda tem 62 metros quadrados com 2 quartos;Quadra 14;Sobradinho;70;2;0;1;0;245000;0;0;-
BRASILIA - Apartamento Padrao - Asa Sul;SQS 404;Asa Sul;117;3;2;3;-;798000;420;1449;-
SQSW 105- 98,43 m²- Reformado- 3 quartos- 1 Suite;SQSW 105 Bloco H;Setor Sudoeste;98;3;1;3;1;1290000;800;1700;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 suíte, 1 banheir;Setor SAGOCA;Taguatinga Norte;72;2;1;1;1;280000;-;0;-
Apartamento Duplex Edifício Opus- EQ 3/4 -AE Quadra Lucio Costa;EPTG EQ 3/4;Quadras Econômicas Lúcio Costa;75;2;0;2;1;520000;0;0;-
Só 90 mil Ap 1Q com Lazer, Elev, 32m2, Portaria, Oportunidade!;Chácara 64;Setor Habitacional Vicente Pires - Trecho 3;32;1;-;1;0;90000;-;-;-
Apartamento para venda com 54m², 2 quartos, 1 suite, em Samambaia Sul - Brasília - DF;QN 120 Conjunto 3;Samambaia Sul;54;2;1;2;1;320836;-;650;-
BRASÍLIA - Apartamento Padrão - SAMAMBAIA SUL (SAMAMBAIA);-;Samambaia Sul;73;2;1;2;1;239999;300;-;-
Apartamento para venda possui 110 m² com 3 quartos em Setor Noroeste - Brasília - DF;SQNW 309 Bloco B;Setor Noroeste;110;3;1;3;2;1550000;1400;2080;-
Rua 12, Polo de modas, primeiro andar, 1 quarto amplo, reformado!;Rua 12;Guará II;50;1;0;1;0;115000;0;0;-
Excelente apartamento em Residencial Esplanada em Taguatinga Norte;Setor SAGOCA;Taguatinga Norte;-;2;0;1;1;250000;0;0;-
APARTAMENTO 2 QUARTOS PARA VENDA, SETOR DE MANSÕES SOBRADINHO;QMS 27;Setor de Mansões de Sobradinho;-;2;1;2;0;169000;-;-;-
APARTAMENTO 1 QUARTO 42 M² SUDOESTE;QRSW 1;Setor Sudoeste;59;1;1;1;-;425000;433;734;-
Apartamento 02 Quartos Com Garagem - Residencial Brisas Do Parque;QS 431 Conjunto D;Samambaia Norte;46;2;-;1;1;130000;0;0;-
Apartamento cobertura Duplex com 3 quartos, 173m², para venda em Águas Claras. Ed. Centrale;Rua 18;Sul;173;3;2;4;1;1050000;1057;301;-
Apartamento de 30 m² com 1 quarto - QSC 19 - Taguatinga Sul - Brasília - DF;QSC 19 Chácara 27 Conjunto K;Taguatinga Sul;30;1;0;1;1;65000;-;0;-
Apartamento para venda com 67 metros quadrados com 2 quartos em Setor Meireles - Brasília - DF;Avenida Monumental;Setor Meireles;-;2;0;1;1;160000;350;200;-
Apartamento para venda possui 88 metros quadrados com 3 quartos em Sul - Brasília - DF;Rua Copaíba;Sul;-;3;1;2;1;639132;540;0;-
QR 414 ótimo local, 2 quartos amplo, varanda, 64mts nascente!;QN 414;Samambaia Norte;90;2;0;1;1;195000;250;0;-
Apto. de 135 m2 - Vazado - no Noroeste com 4 quartos (02 suítes e 02 semi suítes);SQNW 106 Bloco J;Setor Noroeste;-;4;4;5;3;2134158;1560;-;-
Apartamento com 2 dormitórios à venda, 54 m² por R$ 240.000,00 - Vicente Pires - Vicente Pires/DF;Rua 4A;Setor Habitacional Vicente Pires;54;2;1;2;0;240000;0;0;-
Apartamento para venda possui 59 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;QSF 1 Área Especial 6/7/8;Taguatinga Sul;-;2;1;2;1;335000;450;1200;-
Apartamento para venda com 110 metros quadrados com 3 quartos;Rua 4A;Setor Habitacional Vicente Pires;110;3;2;3;1;555000;-;-;-
Apartamento 2 quartos,1 suíte à venda Residencial Império das Águas em Águas Claras - DF;Alameda Gravatá Quadra 301;Norte;-;2;1;2;1;430000;-;-;-
Apto 3 quartos- Natalia Valois- Águas Claras;-;Asa Sul;123;3;-;2;1;555000;-;-;-
Apartamento 2qrts pelo programa casa verde e amarela;QR 407;Samambaia Norte;-;2;0;1;0;178000;0;0;-
Apartamento de 3 quartos - Residencial Águas Cristalinas (Águas Claras) Localização: Localizado na R;Rua 13;Norte;107;3;1;4;1;680000;653;-;-
2 quartos pronto p morar, pelo programa casa verde e amarela;QR 321 Conjunto 5;Samambaia Sul;76;2;0;1;1;213000;-;-;-
Samuel Pereira oferece: Apartamento 2 Quartos no Setor de Mansões de Sobradinho.;QMS 14;Setor de Mansões de Sobradinho;80;2;0;1;0;160000;0;150;-
Apartamento nascente na Qd. 301, 53m de 2 quartos, Viver Melhor em Samambaia Sul, DF;Quadra 301 Conjunto 1;Samambaia Sul;-;2;1;2;1;257000;480;600;-
RDS vende apt 03 quartos setor leste Gama;-;Setor Leste;-;3;0;2;-;180000;0;0;-
Atenção investidor vendo prédio com 7 apart 1 loja renda mensal 7.600,00 av principal QS 11 do Areal;QS 11 Conjunto C;Areal;441;10;-;11;-;1090000;0;1200;-
Apartamento para venda com 65 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;QNL 2;Taguatinga Norte;65;2;0;1;2;240000;390;0;-
Excelente Apt de 2 quartos em frente a Policia civil;QS 12 Conjunto 2B;Riacho Fundo I;60;2;0;1;0;120000;-;-;-
APARTAMENTO 04 QUARTOS NO RESIDENCIAL PARADISO - ÁGUAS CLARAS - BRASÍLIA-DF;Quadra 104;Norte;132;4;0;4;1;840000;976;1350;-
Apartamento de 35 m² com 1 quarto na QSC 19- Taguatinga Sul - Brasília - DF;QSC 19 Chácara 26 Conjunto G;Taguatinga Sul;-;1;0;1;0;105000;70;-;-
Noroeste - 6º andar, varanda gourmet, 2 vagas soltas e cobertura coletiva!;SQNW 108 Bloco H;Setor Noroeste;76;2;1;2;2;1180000;1100;0;-
SQN 415 - 52 METROS- ORIGINAL- 1 ANDAR;SQN 415 Bloco E;Asa Norte;52;2;0;1;1;520000;650;1000;-
Lindo Apartamento GAMAGGIORE 2Qtos no Setor Industrial - Brasília - DF;Quadra 1;Setor Industrial;66;2;1;2;1;335000;350;700;-
Excelente apartamento de 1 quarto na Asa Norte;SCN Quadra 3;Asa Norte;46;1;-;1;0;420000;-;-;-
Apartamento no Gamaggiore;Quadra 1;Setor Industrial;56;2;1;2;1;310000;-;-;-
RDS vende apt planejado Ed Champs Elysses;-;Setor Central;-;2;0;1;1;185000;320;0;-
Apartamento 2qrst com oportunidade única;QR 407;Samambaia Norte;-;2;0;1;0;177000;0;0;-
APARTAMENTO 2 QUARTOS 60M² SUDOESTE;QRSW 1 Bloco A-1;Setor Sudoeste;80;2;-;1;-;585000;569;-;-
SQS 311, Apto 3 qtos, sendo 3 suítes, Reformado!!!;SQS 311 Bloco B;Asa Sul;150;3;3;5;1;1690000;0;0;-
Apartamento para venda possui 25 metros quadrados com 1 quarto em Norte - Brasília - DF;Rua das Carnaúbas;Norte;56;1;0;1;1;198900;403;0;-
Excelente apt de 2 qts em Aguas Claras - Art Life Design;Rua Babaçu;Sul;68;2;1;3;1;610000;450;150;-
Apartamento para venda com 31 metros quadrados com 1 quarto em Samambaia Sul - Brasília - DF;QR 110;Samambaia Sul;43;1;1;1;1;155000;300;350;-
Belíssimo Apartamento 3 Quartos Asa Sul !!! 950.000 !!!;SQS 103 Bloco D;Asa Sul;-;3;0;2;0;950000;579;1548;-
ASA NORTE - SQN 310 - APTO 2 QUARTOS;SQN 310 Bloco A;Asa Norte;84;2;0;2;0;730000;490;0;-
Apto duplex 57m², vista livre, reformada, lazer completo, Ac. Financiamento! A.CLARAS.;Rua das Figueiras;Norte;57;1;1;2;1;435000;544;840;-
Apt 2 qts - Próx Supercado super bom Vicente Pires - DF;Rua 4A Área Especial 1;Setor Habitacional Vicente Pires;50;2;0;1;0;170000;0;0;-
Excelente Oportunidade - Modern Life - Águas Claras;Rua 5;Norte;41;1;1;1;1;310000;285;0;-
Brasília - Apartamento Padrão - Riacho Fundo I;-;Riacho Fundo I;69;3;1;2;1;385000;564;653;-
RDS Vende apartamento 03 qtos na QNL 07 Taguatinga;-;Taguatinga Norte;-;3;0;1;1;230000;0;0;-
Kit no Olympia Residence - Asa Norte;SCRN 708/709 Bloco D;Asa Norte;30;1;1;1;-;340000;250;650;-
DESOCUPADO + VISTA LIVRE + USE FGTS E FINAN! EDIFÍCIO TOPAZIO, CLNW 8/9, NOROESTE;-;Setor Noroeste;33;1;0;1;1;435000;0;0;-
Apartamento para com 3 quartos em Setor Industrial gama;Quadra 2;Setor Industrial;84;3;2;3;1;540000;580;0;-
apartamento em Ceilândia sul qnn 12 próx metrô;QNN 12;Ceilândia Sul;-;3;1;1;1;250000;0;0;-
Apartamento para venda possui 60 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;CNB 6;Taguatinga Norte;60;2;1;2;1;345000;350;1100;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 banheiro, 1 vaga;Setor SAGOCA;Taguatinga Norte;48;2;0;1;1;260000;317;520;-
Excelente apartamento no Altos 2 de Taguatinga 3Qrts andar alto 410mil;QI 3;Setor Industrial;64;3;1;2;1;410000;-;-;-
DUPLEX 1 Suíte + Escritório ou Closet PARK STYLE;Rua 25;Sul;70;2;1;2;1;650000;650;-;-
Apartamento para venda com 1 quarto em Riacho Fundo I - Brasília - DF;QN 7;Riacho Fundo I;38;1;-;1;-;120000;-;-;-
Apartamento 2 quartos em Samambaia Norte aceita financiamento e FGTS;QN 408 Conjunto E;Samambaia Norte;90;2;1;1;1;255000;380;550;-
Cobertura duplex 382 m² c/ 4 suítes - 4 vagas - Amplo terraço c/ piscina e área de lazer - Noroeste;SQNW 309 Bloco C;Setor Noroeste;-;4;4;7;4;5142230;-;-;-
Apartamento para venda possui 64 metros quadrados com 2 quartos em Setor Sudoeste - Brasília - DF;QRSW 3;Setor Sudoeste;75;2;0;1;0;610000;480;1300;-
Apartamento para venda com 90 metros quadrados com 3 quartos em Taguatinga Sul - Brasília - DF;QSA 4;Taguatinga Sul;90;3;1;3;2;700000;1155;1004;-
CNB 5 LINDO APARTAMENTO 3 QUARTOS COM DCE.;CNB 5;Taguatinga Norte;-;2;-;2;1;260000;450;-;-
Apartamento Duplex com 3 dormitórios à venda, 150 m² por R$ 250.000,00 - Paranoá - Paranoá/DF;Quadra 21 Conjunto D;Paranoá;150;3;1;1;0;250000;0;0;-
Residencial Vivaldi Moreira Águas Claras - 2 quartos reformado, próximo do metrô e parque. Andar al;Rua 20;Norte;80;2;1;2;1;498000;442;-;-
Apartamento para venda com 73 metros quadrados com 3 quartos;Quadra 9 Conjunto C;Sobradinho;78;3;1;2;1;430000;0;0;-
