description;address;neighborhood;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento 2 quartos em Samambaia Sul - Brasília - DF;Quadra 301 Conjunto 1;Samambaia Sul;59;2;1;2;1;360000;500;450;-
Apartamento 03 quartos à venda, reformado, nascente, andar alto QD 205 Águas Claras - DF;Quadra 205;Sul;-;3;1;3;3;980000;846;1280;-
Apartamentos de 01 e 02 quartos QUADRA PARQUE GAMA.;Quadra 3;Setor Central;-;2;1;2;1;260000;0;0;-
Asa Norte, apartamento 53 m2, 1 quarto, banheiro, elevador.;SCRN 704/705 Bloco B;Asa Norte;-;1;1;1;0;390000;0;830;-
Residencial APÊ - Lindo apartamento 2 quartos 1 suíte - armários planejados;Quadra 101;Norte;70;2;1;2;1;560000;520;1000;-
Apartamento para venda com 86 metros quadrados com 2 quartos em Setor Noroeste - Brasília - DF;SQNW 104 Bloco A;Setor Noroeste;86;2;1;3;1;1300000;1;1;-
Excelente Apto 3 Qtos no Smart Club Residence Setor Industrial - Brasília - DF;Quadra 3;Setor Industrial;72;3;1;2;1;390000;420;700;-
Apartamento para Venda em Brasília, Samambaia Sul (Samambaia), 2 dormitórios, 1 banheiro, 1 vaga;QN 120 Conjunto 2;Samambaia Sul;46;2;0;1;1;205000;490;520;-
Ao pode fazer 1 ou 2 quartos, lazer completo, muitas facilidades;QR 407 Conjunto 6;Samambaia Norte;56;2;0;1;1;177000;200;100;-
Apartamento Riacho Fundo I - Brasília - DF;QS 16 Conjunto 1;Riacho Fundo I;55;2;0;1;0;138000;0;0;-
Apartamento 3 Quartos Asa Sul !!! 750.000 !!!;SQS 403 Bloco R;Asa Sul;118;3;1;2;-;750000;1050;1431;-
SQS 410 - EXCELENTE APARTAMENTO REFORMADO;SQS 410;Asa Sul;67;2;0;1;0;560000;380;0;-
Apartamento 3 quartos, Aceita Financiamento e FGTS – Área de Lazer;Quadra 101 Conjunto 2;Samambaia Sul;98;3;1;1;1;395000;430;0;-
